Date;Daily PV Yield(kWh);Daily inverter output (kWh);Daily exported energy(kWh);Daily imported energy(kWh);temperature_2m_max (°C);temperature_2m_min (°C);temperature_2m_mean (°C);Day of the week;daylight_duration (s);sunshine_duration (s);precipitation_sum (mm)
2024-05-23;4.9;5.9;0.94;7.08;16.6;8.5;12.8;Thursday;57225.66;50967.36;1.00
2024-05-24;17.5;16.8;0.07;25.3;16.7;9.5;13.2;Friday;57370.25;39951.46;9.80
2024-05-25;26.1;23.8;0.35;11.92;18.5;10.0;13.8;Saturday;57510.79;50621.47;2.70
2024-05-26;30.1;28.4;0.38;12.23;19.1;10.2;14.9;Sunday;57647.06;50556.42;5.60
2024-05-27;23.8;21.9;0.3;8.16;19.4;11.5;15.2;Monday;57778.87;38785.89;2.50
2024-05-28;15.6;15.9;0.12;17.93;16.3;7.0;11.8;Tuesday;57905.97;20636.79;16.00
2024-05-29;26.4;24.4;0.31;11.51;16.2;8.0;12.6;Wednesday;58028.16;51810.71;0.00
2024-05-30;25.2;23.6;0.29;8.59;17.1;9.6;13.4;Thursday;58145.20;36551.92;1.70
2024-05-31;28.4;26.2;0.17;19.75;18.1;9.2;14.4;Friday;58256.87;46340.55;1.70
2024-06-01;11.5;11.5;0;30.58;15.8;10.6;12.8;Saturday;58363.10;17326.07;13.50
2024-06-02;23.2;21.7;0.32;10.27;15.1;11.3;13.2;Sunday;58464.74;24469.44;6.90
2024-06-03;19.2;18.4;0.09;24.23;14.7;9.3;12.0;Monday;58561.91;15033.74;1.50
2024-06-04;36.9;34.5;0.15;12.48;14.5;8.3;11.4;Tuesday;58654.50;22462.63;0.00
2024-06-05;27;25;0.31;10.99;19.1;8.7;14.2;Wednesday;58742.38;52271.04;0.80
2024-06-06;29.9;28.4;0.48;8.85;18.5;10.0;13.8;Thursday;58825.47;51248.69;3.30
2024-06-07;29.1;26.8;0.3;8.7;17.3;9.2;13.5;Friday;58903.64;52064.26;0.40
2024-06-08;33;27.3;0.36;10.22;20.4;7.8;15.9;Saturday;58976.79;49929.32;0.30
2024-06-09;28.4;30;0.38;3.94;18.8;10.6;14.6;Sunday;59044.84;44013.69;0.20
2024-06-10;31.8;30.1;0.26;9.09;17.3;10.6;13.8;Monday;59107.67;37680.07;0.40
2024-06-11;28.2;24.3;0.28;8.25;12.4;6.2;10.0;Tuesday;59165.18;47938.35;0.30
2024-06-12;30.9;29.2;0.3;7.31;13.6;6.3;10.2;Wednesday;59217.29;37240.06;0.60
2024-06-13;27.9;27.7;0.18;13.63;12.9;5.5;9.0;Thursday;59263.89;43842.23;6.30
2024-06-14;27.5;25.4;0.18;13.18;14.7;4.5;10.9;Friday;59304.90;16451.42;0.00
2024-06-15;29.4;26.5;0.18;8.31;18.9;9.6;14.1;Saturday;59340.23;28428.03;2.40
2024-06-16;29.1;27.1;0.35;7.82;19.4;9.1;14.6;Sunday;59369.80;48759.54;0.00
2024-06-17;31.3;30.3;0.33;9.74;20.7;11.0;16.2;Monday;59393.54;45278.29;1.50
2024-06-18;29.2;26.6;0.32;7.77;22.8;12.8;18.8;Tuesday;59411.34;54011.52;0.60
