train_days;window_hours;method;MAE;RMSE;sMAPE;MeanError;MaxError;count
7;2;agregace_1h;2613022087341372.5;1.5479231527265284e+16;32.83457067828737;2613022087340552.5;1.457474929121134e+17;132
7;2;prima_blokova_predikce;1502.5975704027974;2006.3136090427495;22.611359353145055;133.55526113649051;6604.07824094;132
15;2;agregace_1h;1120.749185910074;1482.1932492701605;17.200939532138797;75.67934514429983;6032.768371810136;132
15;2;prima_blokova_predikce;1093.949310334368;1373.1171691255236;16.99476926235488;133.86677482107623;4081.0090486112485;132
15;4;agregace_1h;1823.4459399128993;2285.9380695990153;13.936010930730042;151.35869028859958;5485.388382788196;66
15;4;prima_blokova_predikce;4219.342865920766;8895.192822245046;27.583079604613054;-515.3789245361655;56976.348728170065;66
30;2;agregace_1h;1020.792141100905;1330.8346031750584;15.49842110668098;36.13591363233473;5301.2829020933095;132
30;2;prima_blokova_predikce;1051.816231398149;1341.5820313582778;16.29603714109095;332.1786755489615;3924.0671008025147;132
30;4;agregace_1h;1678.7843602749624;1998.3831273028352;12.563322190112785;72.27182726466928;4744.7029956536335;66
30;4;prima_blokova_predikce;2113.7321950040346;2904.3047907041423;16.810467972101904;965.4882809420535;9678.041050745456;66
30;6;agregace_1h;2019.3418528011885;2614.940041201941;10.258894097093158;108.40774089700405;7288.600992420845;44
30;6;prima_blokova_predikce;4104.544907539843;5250.45412833659;23.165325826760725;1818.3270906455912;12739.600402135155;44
30;8;agregace_1h;2391.790047575407;3091.2099500161685;8.85564727450968;144.54365452933857;6703.447714661495;33
30;8;prima_blokova_predikce;5434.7775854021;6699.78842576385;20.78369723097502;-860.2376467348514;15366.416277814802;33
30;12;agregace_1h;3566.9206623160503;4292.227795975062;8.929560784663613;216.81548179400787;8007.482344886717;22
30;12;prima_blokova_predikce;7355.646492208203;9336.628557782706;19.84452409473176;1096.742381057737;19397.299616331013;22
60;2;agregace_1h;1024.4201171942993;1342.4454599524308;15.69355440681324;250.31363406890347;4347.382914310221;132
60;2;prima_blokova_predikce;1063.348557835555;1373.4679187512413;16.314671427908518;274.57743749642947;4364.752362594085;132
60;4;agregace_1h;1751.0850286637003;2191.733306273222;13.208485703446456;500.62726813780694;5599.9486385217515;66
60;4;prima_blokova_predikce;2041.7992483327941;2486.21609303586;15.74915585531968;902.870246816096;6262.645136895209;66
60;6;agregace_1h;2392.165508885006;2970.323946751028;12.143492434289334;750.9409022067107;8379.08042352965;44
60;6;prima_blokova_predikce;2954.4036804964194;3857.0099052523847;15.698653416846398;1734.2787370144194;10686.497294781582;44
60;8;agregace_1h;2782.582238690999;3406.6841225802114;10.469485621866315;1001.2545362756141;7207.751418788172;33
60;8;prima_blokova_predikce;4017.2434546198733;4837.101687474557;15.186162517969205;1358.367796823684;9587.701546037602;33
60;12;agregace_1h;4057.5036515023226;4990.546095219612;10.363195161642183;1501.8818044134207;12609.848667437851;22
60;12;prima_blokova_predikce;6135.878685677215;8388.934839990792;16.89384172023463;1551.8496480348842;21264.755960159524;22
