train_days;window_hours;agregace_1h;prima_blokova_predikce;better_method;rmse_difference;relative_difference_percent
7;2;1.5479231527265284e+16;2006.3136090427495;přímá bloková predikce;-1.5479231527263278e+16;-771526019536333.2
15;2;1482.1932492701605;1373.1171691255236;přímá bloková predikce;-109.07608014463699;-7.94368336491653
15;4;2285.9380695990153;8895.192822245046;agregace 1h predikce;6609.254752646031;74.30142195588661
30;2;1330.8346031750584;1341.5820313582778;agregace 1h predikce;10.747428183219427;0.8011010830503035
30;4;1998.3831273028352;2904.3047907041423;agregace 1h predikce;905.9216634013071;31.192375755495977
30;6;2614.940041201941;5250.45412833659;agregace 1h predikce;2635.514087134649;50.1959263468437
30;8;3091.2099500161685;6699.78842576385;agregace 1h predikce;3608.5784757476813;53.86108107341111
30;12;4292.227795975062;9336.628557782706;agregace 1h predikce;5044.400761807644;54.02807587973282
60;2;1342.4454599524308;1373.4679187512413;agregace 1h predikce;31.022458798810476;2.2586955527156496
60;4;2191.733306273222;2486.21609303586;agregace 1h predikce;294.48278676263817;11.84461751283462
60;6;2970.323946751028;3857.0099052523847;agregace 1h predikce;886.6859585013567;22.98894688587366
60;8;3406.6841225802114;4837.101687474557;agregace 1h predikce;1430.417564894346;29.571790243697865
60;12;4990.546095219612;8388.934839990792;agregace 1h predikce;3398.3887447711804;40.51037240831531
