TimeStamp;P_HOME;temperature;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6
2025-05-20 16:00:00;-367.0149425287358;14.7;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-20 17:00:00;-966.7039272030644;14.7;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-20 18:00:00;-764.3204365079363;14.1;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-20 19:00:00;-1020.156718664477;12.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-20 20:00:00;-634.361270338857;10.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-20 21:00:00;-648.3446360153256;9.9;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-20 22:00:00;-355.33980569239185;9.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-20 23:00:00;-718.8469348659004;8.9;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-21 00:00:00;-2357.400670498085;8.3;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 01:00:00;-3862.6447318007654;8.1;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 02:00:00;-1706.0707854406126;8.6;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 03:00:00;-1172.3008620689661;9.1;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 04:00:00;-1420.2603858784885;8.0;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 05:00:00;-1166.6474137931034;9.0;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 06:00:00;-1236.5376436781614;10.3;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 07:00:00;-539.4060892172963;11.8;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 08:00:00;-383.60826491516144;12.9;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 09:00:00;-980.2746168582377;14.4;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 10:00:00;-1069.4636015325668;15.1;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 11:00:00;-4173.332950191572;15.9;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 12:00:00;-2873.4921045429655;16.6;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 13:00:00;-671.9136015325668;16.4;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 14:00:00;-1814.9618979200895;12.7;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 15:00:00;-2627.6015462506834;14.4;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 16:00:00;-3727.964367816092;14.8;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 17:00:00;-2194.708812260538;14.8;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 18:00:00;-884.4094827586206;14.1;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 19:00:00;-516.9321492965004;12.8;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 20:00:00;-464.28360338388234;11.0;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 21:00:00;-411.63505747126425;10.1;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 22:00:00;-1907.71150793651;10.1;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-21 23:00:00;-1750.0580218025927;10.0;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-22 00:00:00;-1592.4045356686752;9.9;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-22 01:00:00;-1434.7510495347578;10.4;False;False;True;False;False;False;False;False;True;False;False;False
