step_hours;train_days;train_samples;MAE;MSE;RMSE;sMAPE;MeanError;MaxError
1;15;360;7328.814315621422;76175859.20421787;8727.878276203093;9.565854700317498;908.1521417315995;15209.794067954805
1;30;720;4233.606453639558;23715392.124721184;4869.845184882286;5.3716497987672795;433.6309635880177;7876.131159868804
1;60;1440;6384.278070026022;55921367.89263549;7478.0590993008;8.228693171906567;3003.7636088268464;12664.083404559788
2;15;180;8156.042705665033;74790106.00830926;8648.127312216748;10.723191107952989;1606.401297852915;13077.763228911266
2;30;360;5431.529730267058;48099801.0194791;6935.402008498073;6.99518396903845;3986.144106587542;13776.902266624515
2;60;720;6899.034048280641;61989384.924088545;7873.333787163386;8.898673554063828;3294.9292499571557;12994.630826362212
4;15;90;11482.845682168638;184258297.80311242;13574.177610563094;13.751881969148144;-3092.2735472169948;27983.449341472922
4;30;180;9469.409577966586;168719187.62165442;12989.195033629083;12.374123072497168;5792.929685652317;30138.549244715774
4;60;360;8430.214218311223;111765083.46656686;10571.900655348916;11.13001932262947;5417.221480896579;23695.243242420154
4;90;540;7988.184714547318;108268315.88187966;10405.206191223682;10.202588741370544;3764.6894750168644;20901.24018055979
6;30;120;9908.23698844721;183412734.59932142;13542.99577639015;13.497101960340343;7273.308362582367;30522.42162219464
6;60;240;8302.598051113953;129007999.27157174;11358.168834436814;10.998451634040629;6937.114948057682;25255.829724226773
6;90;360;7877.165744055805;89327181.48077534;9451.30580823493;10.234531417967286;4473.208381596764;17472.77024840047
8;30;90;11763.85226919299;198407977.51537073;14085.73666924704;14.938978491144933;-2580.712940204554;24084.55745639542
8;60;180;9595.908058218394;128285068.20806628;11326.299846289885;12.470998491140701;4075.103390471052;20622.907355781645
8;90;270;9401.144592470517;125936908.90611748;11222.161507754086;12.04995396789856;4012.544482727572;20586.638784885683
8;120;360;8794.18443857966;108433852.13051055;10413.157644562505;11.044134441406529;2859.739014476514;17813.210323979583
12;30;60;13030.234864604106;244080521.40977725;15623.076566725815;16.50517398529031;2193.4847621154695;32498.188807839295
12;60;120;8984.165809520453;170253263.5447038;13048.113409405354;12.103701731983895;3103.699296069764;35147.099626581294
12;90;180;7396.943409358834;90400898.63527496;9507.938716424027;9.150837814714903;-513.0616828187572;21646.25158836419
12;120;240;6555.686676132872;62592167.37247164;7911.521179423818;8.315237081121952;1928.502615763018;17947.284696808652
