train_days;rmse;avg_mape;avg_daily_percentage_error;avg_prediction_time_seconds
5;24432.8037199172;42.77923006977084;21.508970974193648;3.0536099291736414
10;7141.837261065698;29.204827800971646;8.261535195376643;7.483497150014348
15;7527.1147778088425;29.017561699178486;9.06495320075151;7.374111358343119
20;6807.828805474043;27.7255962787121;8.036956794477442;13.530598454162828
25;7199.9961841524555;28.42730688599001;8.656330778754766;13.305010766664054
30;7082.39469519427;27.91295291663054;8.549444910985297;18.915418275006232
35;6857.090558056433;27.541316089013495;8.219947468358468;22.183673433343454
40;6638.811453291946;26.99527011461177;7.844516731633562;22.786163004168582
45;5411.833698173563;26.146812988331323;6.626322383024125;27.032056987499043
50;6484.4843008880825;25.83283799963043;8.04087507004527;32.40393533748769
55;6699.95210857727;26.99375993846411;8.158816273695903;35.24896366250565
60;6468.500455361203;26.817533607835724;7.861631095822273;40.01008209582748
