Date,Status,Error,OptimizedCost,NoBatteryCost,SavingsVsNoBattery,TotalGridBuy,TotalGridSell,TotalGridCharge,TotalPvCharge,TotalDischarge,ChargeHoursCount,DischargeHoursCount,StartBatteryPercent,EndBatteryPercent
2026-02-10,OK,,7.1001744,7.663894,0.56371975,59.46263,0,20.480984,0,20.480984,3,8,20,20
2026-02-11,OK,,6.8640227,7.181099,0.3170762,59.98373,0,18.796186,0,18.796186,3,6,20,20
2026-02-12,OK,,5.842151,6.2663326,0.42418146,54.663986,0.70138836,20.039494,0.70138836,20.740883,4,7,20,20
2026-02-13,OK,,5.11143,5.5432067,0.43177652,49.315598,0,18.390923,0,18.390923,3,8,20,20
2026-02-14,OK,,6.4821796,6.829804,0.3476243,61.62079,0,10.8,0,10.8,2,3,20,20
2026-02-15,OK,,5.773274,6.1927676,0.41949368,61.368687,0,10.8,0,10.8,2,3,20,20
2026-02-16,OK,,8.944097,9.757297,0.8132,83.15387,0,21.6,0,21.6,4,6,20,20
2026-02-17,OK,,9.125765,9.883075,0.7573099,88.49323,0,21.6,0,21.6,4,6,20,20
2026-02-18,OK,,8.550178,9.614252,1.0640745,76.47984,0,21.6,0,21.6,4,7,20,20
2026-02-19,OK,,6.800447,7.357417,0.5569701,62.951,0,10.8,0,10.8,2,3,20,20
2026-02-20,OK,,4.632715,5.166155,0.53343964,51.066284,0.23308134,21.6,0,21.6,4,9,20,20
